__time,/mcu/state/jointURDF/0/effort,/mcu/state/jointURDF/0/position,/mcu/state/jointURDF/0/velocity,/mcu/state/jointURDF/1/effort,/mcu/state/jointURDF/1/position,/mcu/state/jointURDF/1/velocity,/mcu/state/jointURDF/10/effort,/mcu/state/jointURDF/10/position,/mcu/state/jointURDF/10/velocity,/mcu/state/jointURDF/11/effort,/mcu/state/jointURDF/11/position,/mcu/state/jointURDF/11/velocity,/mcu/state/jointURDF/2/effort,/mcu/state/jointURDF/2/position,/mcu/state/jointURDF/2/velocity,/mcu/state/jointURDF/3/effort,/mcu/state/jointURDF/3/position,/mcu/state/jointURDF/3/velocity,/mcu/state/jointURDF/4/effort,/mcu/state/jointURDF/4/position,/mcu/state/jointURDF/4/velocity,/mcu/state/jointURDF/5/effort,/mcu/state/jointURDF/5/position,/mcu/state/jointURDF/5/velocity,/mcu/state/jointURDF/6/effort,/mcu/state/jointURDF/6/position,/mcu/state/jointURDF/6/velocity,/mcu/state/jointURDF/7/effort,/mcu/state/jointURDF/7/position,/mcu/state/jointURDF/7/velocity,/mcu/state/jointURDF/8/effort,/mcu/state/jointURDF/8/position,/mcu/state/jointURDF/8/velocity,/mcu/state/jointURDF/9/effort,/mcu/state/jointURDF/9/position,/mcu/state/jointURDF/9/velocity,/mcu/state/jointURDF/header/stamp,/mcu/state/toe_array/header/stamp,/mcu/state/toe_array/toes.0/contact,/mcu/state/toe_array/toes.0/id,/mcu/state/toe_array/toes.0/position/x,/mcu/state/toe_array/toes.0/position/y,/mcu/state/toe_array/toes.0/position/z,/mcu/state/toe_array/toes.0/sphase,/mcu/state/toe_array/toes.0/valid,/mcu/state/toe_array/toes.1/contact,/mcu/state/toe_array/toes.1/id,/mcu/state/toe_array/toes.1/position/x,/mcu/state/toe_array/toes.1/position/y,/mcu/state/toe_array/toes.1/position/z,/mcu/state/toe_array/toes.1/sphase,/mcu/state/toe_array/toes.1/valid,/mcu/state/toe_array/toes.2/contact,/mcu/state/toe_array/toes.2/id,/mcu/state/toe_array/toes.2/position/x,/mcu/state/toe_array/toes.2/position/y,/mcu/state/toe_array/toes.2/position/z,/mcu/state/toe_array/toes.2/sphase,/mcu/state/toe_array/toes.2/valid,/mcu/state/toe_array/toes.3/contact,/mcu/state/toe_array/toes.3/id,/mcu/state/toe_array/toes.3/position/x,/mcu/state/toe_array/toes.3/position/y,/mcu/state/toe_array/toes.3/position/z,/mcu/state/toe_array/toes.3/sphase,/mcu/state/toe_array/toes.3/valid
1680728247.995159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680728247.994053,1.000000,0.000000,0.266176,0.166279,-0.502612,0.000000,1.000000,1.000000,1.000000,-0.378148,0.174237,-0.503112,0.948457,1.000000,1.000000,2.000000,0.247471,-0.167588,-0.508930,0.957287,1.000000,1.000000,3.000000,-0.341917,-0.167084,-0.508871,0.000000,1.000000
1680728248.005172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680728248.004153,1.000000,0.000000,0.266176,0.166279,-0.502612,0.000000,1.000000,1.000000,1.000000,-0.378159,0.174228,-0.503111,0.948457,1.000000,1.000000,2.000000,0.247461,-0.167587,-0.508937,0.957287,1.000000,1.000000,3.000000,-0.341929,-0.167084,-0.508870,0.000000,1.000000
1680728248.015165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680728248.014053,1.000000,0.000000,0.266164,0.166279,-0.502611,0.000000,1.000000,1.000000,1.000000,-0.378178,0.174228,-0.503104,0.948457,1.000000,1.000000,2.000000,0.247455,-0.167586,-0.508941,0.957287,1.000000,1.000000,3.000000,-0.341929,-0.167084,-0.508870,0.000000,1.000000
1680728248.024717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680728248.024102,1.000000,0.000000,0.266164,0.166279,-0.502611,0.000000,1.000000,1.000000,1.000000,-0.378184,0.174219,-0.503100,0.948457,1.000000,1.000000,2.000000,0.247450,-0.167586,-0.508945,0.957287,1.000000,1.000000,3.000000,-0.341929,-0.167084,-0.508870,0.000000,1.000000
1680728248.035197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680728248.034083,1.000000,0.000000,0.266164,0.166279,-0.502611,0.000000,1.000000,1.000000,1.000000,-0.378184,0.174219,-0.503100,0.948457,1.000000,1.000000,2.000000,0.247444,-0.167586,-0.508949,0.957287,1.000000,1.000000,3.000000,-0.341941,-0.167094,-0.508868,0.000000,1.000000
1680728248.044649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680728248.044045,1.000000,0.000000,0.266164,0.166279,-0.502611,0.000000,1.000000,1.000000,1.000000,-0.378202,0.174220,-0.503093,0.948457,1.000000,1.000000,2.000000,0.247444,-0.167586,-0.508949,0.957287,1.000000,1.000000,3.000000,-0.341941,-0.167094,-0.508868,0.000000,1.000000
1680728248.045147,-9.780000,0.728872,-0.000063,19.660000,1.625368,0.000000,8.240000,0.108097,0.000000,8.970000,0.109095,-0.000457,-5.920000,0.681031,-0.003763,22.280000,1.646567,-0.001355,-7.820000,0.711232,-0.000000,20.180000,1.662166,0.000757,-9.390000,0.756533,-0.000467,24.430000,1.651013,0.000010,-6.910000,-0.112125,-0.000004,-10.630000,-0.095998,-0.000278,1680728248.044311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680728248.055162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680728248.054293,1.000000,0.000000,0.266164,0.166279,-0.502611,0.000000,1.000000,1.000000,1.000000,-0.378208,0.174220,-0.503087,0.948457,1.000000,1.000000,2.000000,0.247439,-0.167585,-0.508953,0.957287,1.000000,1.000000,3.000000,-0.341953,-0.167094,-0.508867,0.000000,1.000000
1680728248.064677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680728248.064083,1.000000,0.000000,0.266164,0.166279,-0.502611,0.000000,1.000000,1.000000,1.000000,-0.378208,0.174220,-0.503087,0.948457,1.000000,1.000000,2.000000,0.247439,-0.167585,-0.508953,0.957287,1.000000,1.000000,3.000000,-0.341953,-0.167094,-0.508867,0.000000,1.000000
1680728248.075092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680728248.074091,1.000000,0.000000,0.266164,0.166279,-0.502611,0.000000,1.000000,1.000000,1.000000,-0.378203,0.174221,-0.503083,0.948457,1.000000,1.000000,2.000000,0.247439,-0.167585,-0.508953,0.957287,1.000000,1.000000,3.000000,-0.341953,-0.167094,-0.508867,0.000000,1.000000
