rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,gps_Date,gps_Time,gps_Lat,gps_Long,gps_Alt,gps_SIV,gps_FixType,gps_GroundSpeed,gps_Heading,gps_pDOP,output_Hz,
01/01/2000,00:00:02.92,12.70,-260.25,-1036.62,-28.70,18.47,20.88,10.20,-51.90,-54.30,16.62,03/22/2020,00:00:01.900,0,0,0,0,0,0,0,9999,14.286,
01/01/2000,00:00:03.02,-575.20,-2000.0,-1529.79,-53.16,57.73,250.13,6.45,-53.55,-50.25,16.58,03/22/2020,00:00:02.000,0,0,0,0,0,0,0,9999,11.765,
01/01/2000,00:00:03.12,77.15,-679.20,-1059.08,37.24,-33.68,59.70,10.20,-53.85,-52.80,16.43,03/22/2020,00:00:02.100,0,0,0,0,0,0,0,9999,11.111,
01/01/2000,00:00:03.22,-100.59,-2.44,-881.84,22.45,75.97,250.13,14.40,-62.70,-47.55,16.58,03/22/2020,00:00:02.200,0,0,0,0,0,0,0,9999,10.811,
01/01/2000,00:00:03.32,-581.05,-488.77,-518.07,-1.79,9.25,250.13,30.30,-65.25,-49.65,16.43,03/22/2020,00:00:02.300,0,0,0,0,0,0,0,9999,10.638,
01/01/2000,00:00:03.42,-314.94,-411.13,-855.96,-3.99,19.11,119.85,42.90,-61.80,-49.05,16.62,03/22/2020,00:00:02.400,0,0,0,0,0,0,0,9999,10.526,
01/01/2000,00:00:03.52,-626.46,-173.83,-780.27,-48.98,-9.07,103.75,49.65,-58.95,-49.35,16.58,03/22/2020,00:00:02.500,0,0,0,0,0,0,0,9999,10.448,
01/01/2000,00:00:03.62,-332.52,-80.57,-976.07,-31.01,37.73,78.69,50.25,-51.60,-52.50,16.38,03/22/2020,00:00:02.600,0,0,0,0,0,0,0,9999,10.390,
01/01/2000,00:00:03.72,-277.34,136.23,-898.44,8.76,24.95,28.84,51.45,-50.40,-54.30,16.82,03/22/2020,00:00:02.700,0,0,0,0,0,0,0,9999,10.465,
01/01/2000,00:00:03.82,-290.53,-3.91,-924.80,28.65,-13.77,14.31,53.70,-48.75,-54.75,16.62,03/22/2020,00:00:02.800,0,0,0,0,0,0,0,9999,10.417,
01/01/2000,00:00:03.92,-184.08,19.53,-1001.95,-59.62,-15.50,16.47,50.70,-47.85,-54.30,16.77,03/22/2020,00:00:02.900,0,0,0,0,0,0,0,9999,10.377,
01/01/2000,00:00:04.02,-510.74,-189.94,-1002.93,22.11,-8.31,-13.47,54.45,-45.90,-56.85,16.96,03/22/2020,00:00:03.000,0,0,0,0,0,0,0,9999,10.345,
01/01/2000,00:00:04.12,-61.04,-98.63,-563.96,1.88,7.21,40.18,56.25,-45.90,-55.20,16.72,03/22/2020,00:00:03.100,0,0,0,0,0,0,0,9999,10.317,
01/01/2000,00:00:04.22,-342.77,13.67,-1160.16,17.42,11.63,26.51,51.90,-46.20,-53.70,16.77,03/22/2020,00:00:03.200,0,0,0,0,0,0,0,9999,10.294,
01/01/2000,00:00:04.32,-1709.47,-195.31,-589.36,-27.85,11.13,30.35,54.75,-45.15,-54.0,16.96,03/22/2020,00:00:03.300,0,0,0,0,0,0,0,9999,10.274,
